sentiment,comments
0,"Very nice family, adorable baby and little daughter. Host was readily available for suggestions or a quick chat. I just wish there was a fan in the room. It was really hot, and unfortunately we could not escape the summer heat so we left a day earlier than planned. "
-1,"It was a nice Weekend in Amsterdam . The Appartement and Most of all, the Place on the roof was beautiful. Amazing Allround view over amsterdam. The stairs up Till the 5 floor is a Long Way and Maybe You Should be sporty. ;) 
But i was Really disappointed about the cleaniless. It was Really Dirty as we arrived the appartment. Worst Problem was, thats throughout the apartment everywhere was many many cats hair. Iam an animal hair allergy... And if i had know That there lives animals, Most of all cats, i had Not booked this Appartement .
The appartment is Really Really close to all the Important Spots of amsterdam, but for this Price it have to be clean when the guest arrived. I Really wish i Could Stay there in the Future again, but with my Allergy it isnt possible. But Really nice Host and a friendly welcome .
"
1,Jacqueline is an awfully nice host.She will let you know everything there is to know about the area or Amsterdam.She even picked me up from the station in Diemen because it was raining.The room is according to the pictures and quite simple. Not necessarily perfect for people allergiced to smoke but still a clean house. Thank you for a nice stay.
1,"Lovely very comfortable appartment! perfect to relax and Nick is a great host, really friendly, who gives you a warm welcome. The appartment has everything you need for a very comfortable stay, there is a bus stop in front of the appartment by bus it's less ten 10 minutes from the city centre and there are many busses going near the appartment, also there are a lot of shops just a couple of minutes walking would recommend to stay here! "
1,"The apartment was great! Very clean and cute. Judit gave us great directions from the train station and it was an easy find for me and my boyfriend! I wish it was a tad closer to central area of Amsterdam, it's about 15 or so minutes by bus. Had a great stay all-in-all!!"
-1,Its a scam
1,"Malin's place was great!  We needed a last-minute place to stay, and the quick communication and willingness to work with us was very much appreciated.  Clean apartment typical of Amsterdam.  Within the range of the tram light rail, so it's not too tough to get into the central district."
1,"Clean, private room with all the necessities. 7 minute walk to public transportation. "
-1,"This place was a nightmare. We arrived and the hosts weren’t even there. The check in was handled by a rental agency.

First, be prepared for a steep and long climb up some dangerous stairs. The banisters are not very well painted, so expect splinters as you hold on for dear life on the way down.

Next, there was human excrement, unflushed, waiting for us in the filthy toilet. Clearly the place had not been properly cleaned. They made the bed and that’s it. They charge a cleaning fee, but in the rules they state that the renter should clean the place or incur additional charges. What a scam!

Anyway, there was hair in the shower all over the walls, and the door to the bathroom is covered in extremely offensive graffiti. Like dive bar level dicks and aggressive sexist comments. I was pretty horrified, and frankly very uncomfortable.

The shower tap for the cold water was completely broken from day one, and I ended up not showering the last 2 days because it became impossible to turn on at all. Also, we had to put the shower head on the ground because we couldn’t turn the water off and it was constantly dripping. We mentioned all this to the rental company, and they did nothing.

Next is the bedroom. It’s basically a closet, and the bed is up extremely high. There is a small step ladder provided, but even I, at 1.67cm struggled to get up and down comfortably. It was really unsafe. Also, there’s a tiny fan in there, but it still feels stuffy.

In the main living area, the counters and tables looked like they had not been properly cleaned in a while, and there were no curtains. Supposedly this place accommodates up to 4 people, but whoever sleeps on the pull out couch better expect to rise with the sun. 

We had made our reservation for 3 people, and when we arrived only the bed was made and there were only 2 towels. We had to wait until the next day to get linens for the third person. Which given the state of cleanliness was a bit scary just sleeping on the couch.

The only good thing we can say about this place is that the area is really beautiful, and the neighbors were super nice. Other than that, AVOID THIS PLACE UNTIL ITS UNDER BETTER MANAGEMENT!!"
0,"Me and my friends had a lovely stay in Amsterdam and enjoyed many features of this apartment however I feel that the pictures do need updating as they do not show how it currently looks.
We never met Alisa, when we arrived to the apartment we tried to call her after 10 minutes of waiting for her to arrive as we got there on time and as the keys weren't in the master lock (although stated on the itinerary a set of keys would be left there, to let ourselves in should she be late) all we could do was wait. Peter, who lives on the 1t floor came down, let us in and showed us around. We were confused as we were never told that she wouldn't be coming and even on the itinerary it said that two of her other friends would check us in should she be busy with work and that we would be told before hand.
We were told that if we had any problems to call Alisa or knock on his door. This was a problem when we had a power cut, we tried to ring Alisa again and knocked on Peters door, both attempts to fix a problem were unsuccessful, so communication was awful. 
The apartment was not very clean at all, at first it was quite stressful for some of us but we just got on with it and made the most of our trip. It felt as though a family were living in the apartment just before we rented it as the rooms had a lot of clutter and toys laying around. The thing that let it down the most were the bathrooms and the kitchen. 
Location wise, it is great! We didn't use public transport apart from getting to and from the airport. Living with the market below us in the street was amazing, and you can easily walk to main attractions and squares from there. 
The roof terrace (although not clean) was a really nice feature to this apartment and we enjoyed evening drinks and just general relaxing up there.
Overall it is a great location really nice to have everything so accessible! Let downs, it wasn't exactly like the pictures, we couldn't get hold of anyone and it was not clean."
